id;start_date;end_date;language
1;2022-12-23T18:46:29;2022-12-23T16:36:44;ENGLISH
2;2022-12-23T04:14:04;2022-12-23T13:39:33;FRENCH
3;2022-12-23T14:10:16;2022-12-23T02:15:24;SPANISH
4;2022-12-23T18:41:05;2022-12-23T00:07:24;FRENCH
5;2022-12-23T20:57:28;2022-12-23T05:16:26;ENGLISH
6;2022-12-23T06:28:11;2022-12-23T20:28:31;SPANISH
7;2022-12-23T14:31:59;2022-12-23T01:06:08;FRENCH
8;2022-12-23T04:57:52;2022-12-23T01:33:41;FRENCH
9;2022-12-23T05:49:30;2022-12-23T17:20:56;FRENCH
10;2022-12-23T01:46:28;2022-12-23T18:43:57;FRENCH
